講義コード,講義名,講義名（英語）,科目種別コード,科目コード,科目名,分野系列コード,分野系列名,単位数,講義期間コード,講義期間,履修年度,開講所属コード,開講所属
25531765,中国語ⅡB,Chinese ⅡB,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531766,中国語ⅡB,Chinese ⅡB,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531767,韓国語ⅡA,Korean ⅡA,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531768,韓国語ⅡA,Korean ⅡA,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531769,韓国語ⅡB,Korean ⅡB,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531770,スペイン語ⅡA,Spanish ⅡA,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531771,スペイン語ⅡA,Spanish ⅡA,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531772,スペイン語ⅡB,Spanish ⅡB,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531780,身体運動科学実習ⅠＡ,Practice of Exercise and Sport Science ⅠＡ,,,,015600,健康・スポーツ科目,0.5,23,秋学期,2025,001,基幹教育科目
25531781,身体運動科学実習ⅠＡ,Practice of Exercise and Sport Science ⅠＡ,,,,015600,健康・スポーツ科目,0.5,23,秋学期,2025,001,基幹教育科目
25531782,身体運動科学実習ⅠＡ,Practice of Exercise and Sport Science ⅠＡ,,,,015600,健康・スポーツ科目,0.5,23,秋学期,2025,001,基幹教育科目
25531783,身体運動科学実習ⅠＢ,Practice of Exercise and Sport Science ⅠＢ,,,,015600,健康・スポーツ科目,0.5,24,冬学期,2025,001,基幹教育科目
25531784,身体運動科学実習ⅠＢ,Practice of Exercise and Sport Science ⅠＢ,,,,015600,健康・スポーツ科目,0.5,24,冬学期,2025,001,基幹教育科目
25531785,身体運動科学実習ⅠＢ,Practice of Exercise and Sport Science ⅠＢ,,,,015600,健康・スポーツ科目,0.5,24,冬学期,2025,001,基幹教育科目
25531815,電磁気学基礎,Elements of Electromagnetism,,,,015500,理系ディシプリン科目,1,23,秋学期,2025,001,基幹教育科目
25531816,電磁気学基礎,Elements of Electromagnetism,,,,015500,理系ディシプリン科目,1,24,冬学期,2025,001,基幹教育科目
25531817,熱力学基礎,Elements of Thermodynamics,,,,015500,理系ディシプリン科目,1,23,秋学期,2025,001,基幹教育科目
25531818,熱力学基礎,Elements of Thermodynamics,,,,015500,理系ディシプリン科目,1,24,冬学期,2025,001,基幹教育科目
25531819,情報科学Ⅰ,Information ScienceⅠ,,,,015500,理系ディシプリン科目,1,23,秋学期,2025,001,基幹教育科目
25531820,情報科学Ⅱ,Information ScienceⅡ,,,,015500,理系ディシプリン科目,1,24,冬学期,2025,001,基幹教育科目
25531844,学術英語・アカデミックライティング,Academic English: Academic Writing,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531845,学術英語・アカデミックライティング,Academic English: Academic Writing,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531846,学術英語・アカデミックライティング,Academic English: Academic Writing,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531847,学術英語・アカデミックライティング,Academic English: Academic Writing,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531848,学術英語・アカデミックライティング,Academic English: Academic Writing,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531849,学術英語・アカデミックライティング,Academic English: Academic Writing,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531850,学術英語・アカデミックリテラシー,Academic English: Academic Literacy,,,,015301,言語文化基礎科目,1,23,秋学期,2025,001,基幹教育科目
25531851,学術英語・アカデミックリテラシー,Academic English: Academic Literacy,,,,015301,言語文化基礎科目,1,23,秋学期,2025,001,基幹教育科目
25531852,学術英語・アカデミックリテラシー,Academic English: Academic Literacy,,,,015301,言語文化基礎科目,1,24,冬学期,2025,001,基幹教育科目
25531853,学術英語・アカデミックリテラシー,Academic English: Academic Literacy,,,,015301,言語文化基礎科目,1,24,冬学期,2025,001,基幹教育科目
25531854,スペイン語Ⅳ,Spanish Ⅳ,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531880,身体運動科学実習ⅠＡ,Practice of Exercise and Sport Science ⅠＡ,,,,015600,健康・スポーツ科目,0.5,23,秋学期,2025,001,基幹教育科目
25531881,身体運動科学実習ⅠＡ,Practice of Exercise and Sport Science ⅠＡ,,,,015600,健康・スポーツ科目,0.5,23,秋学期,2025,001,基幹教育科目
25531882,身体運動科学実習ⅠＢ,Practice of Exercise and Sport Science ⅠＢ,,,,015600,健康・スポーツ科目,0.5,24,冬学期,2025,001,基幹教育科目
25531883,身体運動科学実習ⅠＢ,Practice of Exercise and Sport Science ⅠＢ,,,,015600,健康・スポーツ科目,0.5,24,冬学期,2025,001,基幹教育科目
25531941,作物生産とフロンティア研究,Crop production and frontier research,,,,015710,フロンティア科目,1,23,秋学期,2025,001,基幹教育科目
25531942,人と人をつなぐ技法,Introduction to Facilitation Skills and Communications,,,,015710,フロンティア科目,1,23,秋学期,2025,001,基幹教育科目
25531944,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,23,秋学期,2025,001,基幹教育科目
25531945,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,24,冬学期,2025,001,基幹教育科目
25531946,学術英語・上級,Academic English: Advanced,,,,015301,言語文化基礎科目,2,20,後期,2025,001,基幹教育科目
25531947,ドイツ語プラクティクムⅠ,German Practice I,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531948,フランス語プラティクⅠ,French Practice I,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531949,中国語実践Ⅰ,Chinese Practice Ⅰ,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
25531980,健康・スポーツ科学演習（再履修）,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,20,後期,2025,001,基幹教育科目
25531981,身体運動科学実習ⅠＡ（アダプテッドコース）,Practice of Exercise and Sport Science ⅠＡ,,,,015600,健康・スポーツ科目,0.5,23,秋学期,2025,001,基幹教育科目
25531982,身体運動科学実習ⅠＢ（アダプテッドコース）,Practice of Exercise and Sport Science ⅠＢ,,,,015600,健康・スポーツ科目,0.5,24,冬学期,2025,001,基幹教育科目
25532001,社会学入門,Introduction to Sociology,,,,015400,文系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532002,地理学入門,Introduction to Geography,,,,015400,文系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532003,文化人類学入門,Introduction to Anthropology,,,,015400,文系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532004,心理学入門,Introduction to Psychology,,,,015400,文系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532005,経済学入門,Introduction to Economics,,,,015400,文系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532015,数学演習Ｂ,Recitations in Mathematics Ｂ,,,,015500,理系ディシプリン科目,1,10,前期,2025,001,基幹教育科目
25532016,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532017,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532018,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532019,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532020,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532021,無機物質化学Ⅰ,Elementary Inorganic ChemistryⅠ,,,,015500,理系ディシプリン科目,1,13,春学期,2025,001,基幹教育科目
25532022,無機物質化学Ⅱ,Elementary Inorganic ChemistryⅡ,,,,015500,理系ディシプリン科目,1,14,夏学期,2025,001,基幹教育科目
25532023,生命の科学Ａ,Science of Life A,,,,015500,理系ディシプリン科目,1,13,春学期,2025,001,基幹教育科目
25532024,生命の科学Ａ,Science of Life A,,,,015500,理系ディシプリン科目,1,14,夏学期,2025,001,基幹教育科目
25532025,最先端地球科学,Frontiers of Earth Science,,,,015500,理系ディシプリン科目,1,14,夏学期,2025,001,基幹教育科目
25532026,情報科学,Information Science,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532027,自然科学総合実験,Natural Science Experiments,,,,015500,理系ディシプリン科目,1,13,春学期,2025,001,基幹教育科目
25532041,EU論基礎―制度と経済―,Fundamentals of the European Union - Institutions and,,,,015800,高年次基幹教育科目,2,10,前期,2025,001,基幹教育科目
25532042,医療における倫理,Medical and pharmaceutical ethics,,,,015800,高年次基幹教育科目,2,10,前期,2025,001,基幹教育科目
25532043,技術と倫理,Technology and Ethics,,,,015800,高年次基幹教育科目,1,14,夏学期,2025,001,基幹教育科目
25532044,Intensive English: Academic Issues 1,Intensive English: Academic Issues 1,,,,015301,言語文化基礎科目,1,13,春学期,2025,001,基幹教育科目
25532045,Intensive English: Academic Issues 1,Intensive English: Academic Issues 1,,,,015301,言語文化基礎科目,1,13,春学期,2025,001,基幹教育科目
25532046,Intensive English: Academic Issues 1,Intensive English: Academic Issues 1,,,,015301,言語文化基礎科目,1,13,春学期,2025,001,基幹教育科目
25532047,Intensive English: Academic Issues 1,Intensive English: Academic Issues 1,,,,015301,言語文化基礎科目,1,13,春学期,2025,001,基幹教育科目
25532048,Intensive English: Academic Issues 2,Intensive English: Academic Issues 2,,,,015301,言語文化基礎科目,1,14,夏学期,2025,001,基幹教育科目
25532049,Intensive English: Academic Issues 2,Intensive English: Academic Issues 2,,,,015301,言語文化基礎科目,1,14,夏学期,2025,001,基幹教育科目
25532050,Intensive English: Academic Issues 2,Intensive English: Academic Issues 2,,,,015301,言語文化基礎科目,1,14,夏学期,2025,001,基幹教育科目
25532051,Intensive English: Academic Issues 2,Intensive English: Academic Issues 2,,,,015301,言語文化基礎科目,1,14,夏学期,2025,001,基幹教育科目
25532052,専門英語,Expert English,,,,015301,言語文化基礎科目,1,10,前期,2025,001,基幹教育科目
25532053,Japanese: Integrated 2A,Japanese: Integrated 2A,,,,015301,言語文化基礎科目,1,13,春学期,2025,001,基幹教育科目
25532054,Japanese: Integrated 2B,Japanese: Integrated 2B,,,,015301,言語文化基礎科目,1,14,夏学期,2025,001,基幹教育科目
25532055,Japanese: Integrated 3A,Japanese: Integrated 3A,,,,015301,言語文化基礎科目,1,13,春学期,2025,001,基幹教育科目
25532056,Japanese: Integrated 3B,Japanese: Integrated 3B,,,,015301,言語文化基礎科目,1,14,夏学期,2025,001,基幹教育科目
25532057,Japanese: Integrated 4A,Japanese: Integrated 4A,,,,015301,言語文化基礎科目,1,13,春学期,2025,001,基幹教育科目
25532058,Japanese: Integrated 4B,Japanese: Integrated 4B,,,,015301,言語文化基礎科目,1,14,夏学期,2025,001,基幹教育科目
25532061,教育学特論,Advanced Study of Education,,,,015800,高年次基幹教育科目,2,10,前期,2025,001,基幹教育科目
25532062,現代社会Ⅰ,Contemporary Society I,,,,015800,高年次基幹教育科目,2,10,前期,2025,001,基幹教育科目
25532063,現代史Ⅲ,Contemporary History III,,,,015800,高年次基幹教育科目,2,10,前期,2025,001,基幹教育科目
25532064,サイバー空間デザイン,Cyber Space Design,,,,015800,高年次基幹教育科目,2,10,前期,2025,001,基幹教育科目
25532065,脳情報科学入門,Introduction to Neuroinformatics,,,,015800,高年次基幹教育科目,1,13,春学期,2025,001,基幹教育科目
25532066,遺伝子組換え生物の利用と制御,Application and control of genetically modified organisms,,,,015800,高年次基幹教育科目,2,10,前期,2025,001,基幹教育科目
25532067,科学の歴史Ａ,Introduction to the History of Science A,,,,015800,高年次基幹教育科目,1,13,春学期,2025,001,基幹教育科目
25532068,科学の歴史Ｂ,Introduction to the History of Science B,,,,015800,高年次基幹教育科目,1,14,夏学期,2025,001,基幹教育科目
25532069,環境調和型社会の構築,Building Sustainable/Environment-conscious Societies,,,,015800,高年次基幹教育科目,2,10,前期,2025,001,基幹教育科目
25532070,事業創造デザイン特論Ⅰ,Exercise of Business Creation Design Ⅰ,,,,015800,高年次基幹教育科目,1,13,春学期,2025,001,基幹教育科目
25532071,事業創造デザイン特論Ⅱ,Exercise of Business Creation Design Ⅱ,,,,015800,高年次基幹教育科目,1,14,夏学期,2025,001,基幹教育科目
25532072,社会包摂とデザインＡ,Social inclusion and design Ａ,,,,015800,高年次基幹教育科目,1,13,春学期,2025,001,基幹教育科目
25532073,社会包摂とデザインＢ,Social inclusion and design Ｂ,,,,015800,高年次基幹教育科目,1,14,夏学期,2025,001,基幹教育科目
25532074,生物多様性と人間文化Ｂ,Biodiversity and Human Culture B,,,,015800,高年次基幹教育科目,1,14,夏学期,2025,001,基幹教育科目
25532075,統計データ分析入門B,Introduction to Statistical Data Analysis B,,,,015800,高年次基幹教育科目,1,14,夏学期,2025,001,基幹教育科目
25532080,身体運動科学実習ⅢA,Practice of Exercise and Sport Science ⅢＡ,,,,015600,健康・スポーツ科目,0.5,13,春学期,2025,001,基幹教育科目
25532081,身体運動科学実習ⅢA,Practice of Exercise and Sport Science ⅢＡ,,,,015600,健康・スポーツ科目,0.5,13,春学期,2025,001,基幹教育科目
25532082,身体運動科学実習ⅢB,Practice of Exercise and Sport Science ⅢＢ,,,,015600,健康・スポーツ科目,0.5,14,夏学期,2025,001,基幹教育科目
25532083,身体運動科学実習ⅣA,Practice of Exercise and Sport Science ⅣＡ,,,,015600,健康・スポーツ科目,0.5,13,春学期,2025,001,基幹教育科目
25532084,身体運動科学実習ⅣA,Practice of Exercise and Sport Science ⅣＡ,,,,015600,健康・スポーツ科目,0.5,13,春学期,2025,001,基幹教育科目
25532085,身体運動科学実習ⅣB,Practice of Exercise and Sport Science ⅣＢ,,,,015600,健康・スポーツ科目,0.5,14,夏学期,2025,001,基幹教育科目
25532086,身体運動科学実習ⅡＡ,Practice of Exercise and Sport Science ⅡＡ,,,,015600,健康・スポーツ科目,0.5,13,春学期,2025,001,基幹教育科目
25532087,身体運動科学実習ⅡＡ,Practice of Exercise and Sport Science ⅡＡ,,,,015600,健康・スポーツ科目,0.5,13,春学期,2025,001,基幹教育科目
25532088,身体運動科学実習ⅡＢ,Practice of Exercise and Sport Science ⅡＢ,,,,015600,健康・スポーツ科目,0.5,14,夏学期,2025,001,基幹教育科目
25532089,健康・スポーツ科学講義Ⅱ,Theory of Health and Sport Science Ⅱ,,,,015600,健康・スポーツ科目,2,10,前期,2025,001,基幹教育科目
25532115,数理統計学,Mathematical Statistics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532116,線形代数学Ⅰ,Linear Algebra Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532117,入門微分積分Ⅰ,Introduction to Calculus Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2025,001,基幹教育科目
25532118,入門微分積分Ⅱ,Introduction to Calculus Ⅱ,,,,015500,理系ディシプリン科目,1,14,夏学期,2025,001,基幹教育科目
25532119,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532120,力学概論,Introduction to Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532121,力学概論,Introduction to Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532122,現代物理学基礎,Elements of modern physics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532123,電磁気学基礎演習,Seminar in Electromagnetism ; Elementary Course,,,,015500,理系ディシプリン科目,0.5,13,春学期,2025,001,基幹教育科目
25532124,熱力学基礎演習,Seminar in Thermodynamics; Elementary Course,,,,015500,理系ディシプリン科目,0.5,14,夏学期,2025,001,基幹教育科目
25532125,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532126,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532127,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532128,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532129,力学基礎,Elements of Mechanics,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
25532130,基礎化学結合論Ⅰ,Elementary Chemical Bonding Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2025,001,基幹教育科目
25532131,基礎化学結合論Ⅱ,Elementary Chemical Bonding Ⅱ,,,,015500,理系ディシプリン科目,1,14,夏学期,2025,001,基幹教育科目
25532132,分子生物学,Molecular Biology,,,,015500,理系ディシプリン科目,2,10,前期,2025,001,基幹教育科目
